seed,method,phase,initial_order,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation,best_observed_gw_ev,simple_regret_ev
4,FULL_PBE,sequential,,5,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,1.3186914121163007,10.349,0.0
4,FULL_PBE,sequential,,6,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,-0.16673551907610237,10.349,0.0
4,FULL_PBE,sequential,,7,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,0.4975141728372276,10.349,0.0
4,FULL_PBE,sequential,,8,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,513,6.904,0.8467548909943227,10.349,0.0
4,FULL_PBE,sequential,,9,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.6490569514208132,10.349,0.0
4,FULL_PBE,sequential,,10,118,current-nlr-pbe-gw-v1:gw:matdb:000289858,1249,6.142,0.5536696187083023,10.349,0.0
4,FULL_PBE,sequential,,11,182,current-nlr-pbe-gw-v1:gw:matdb:000290238,2055,6.496,0.6898273436285797,10.349,0.0
4,FULL_PBE,sequential,,12,119,current-nlr-pbe-gw-v1:gw:matdb:000289924,1254,6.706,0.7705988753609475,10.349,0.0
5,NO_PBE,initial,1,0,151,current-nlr-pbe-gw-v1:gw:matdb:000290117,1765,5.717,0.7712662285531959,,
5,NO_PBE,initial,2,0,119,current-nlr-pbe-gw-v1:gw:matdb:000289924,1254,6.706,1.298186045521756,,
